device_id,timestamp,accuracy,heading_d,latitude,longitude
Lema,2000-01-01T08:30:51Z,8,353.1,-24.20864,30.954168
Lema,2000-01-01T08:30:54Z,8,347,-24.208475,30.95412
Lema,2000-01-01T08:30:58Z,8,350,-24.208254,30.954054
Lema,2000-01-01T08:31:01Z,8,347.2,-24.208076,30.95402
Lema,2000-01-01T08:31:04Z,8,346,-24.20788,30.95397
Lema,2000-01-01T08:31:08Z,8,354.8,-24.207657,30.95392
Lema,2000-01-01T08:31:11Z,8,5.8,-24.20752,30.953924
Lema,2000-01-01T08:31:15Z,8,8.1,-24.207373,30.953978
Lema,2000-01-01T08:31:19Z,10,3,-24.207172,30.954004
Lema,2000-01-01T08:31:22Z,12,6.2,-24.207035,30.954018
Lema,2000-01-01T08:31:25Z,12,8.9,-24.206911,30.954037
Lema,2000-01-01T08:31:29Z,12,359.5,-24.206734,30.954054
Lema,2000-01-01T08:31:33Z,12,5,-24.206566,30.954062
Lema,2000-01-01T08:31:36Z,12,0.1,-24.20642,30.954073
Lema,2000-01-01T08:31:40Z,12,340.1,-24.206207,30.954014
Lema,2000-01-01T08:31:43Z,12,346.8,-24.20602,30.95394
Lema,2000-01-01T08:31:47Z,12,3.7,-24.205755,30.953903
Lema,2000-01-01T08:31:50Z,12,10,-24.205551,30.95393
Lema,2000-01-01T08:31:54Z,10,6,-24.205296,30.953957
Lema,2000-01-01T08:31:57Z,8,20.7,-24.205135,30.95398
Lema,2000-01-01T08:32:01Z,8,53.1,-24.205,30.954138
Lema,2000-01-01T08:32:04Z,12,43.1,-24.204905,30.954268
Lema,2000-01-01T08:32:08Z,13,14.6,-24.204762,30.954374
Lema,2000-01-01T08:32:11Z,12,18.7,-24.204643,30.954412
Lema,2000-01-01T08:32:15Z,12,20,-24.204453,30.954485
Lema,2000-01-01T08:32:19Z,12,20,-24.20425,30.954563
Lema,2000-01-01T08:32:22Z,12,13,-24.204086,30.95462
Lema,2000-01-01T08:32:26Z,12,2.2,-24.203842,30.954668
Lema,2000-01-01T08:32:30Z,12,327.6,-24.203611,30.954603
Lema,2000-01-01T08:32:34Z,9,314.2,-24.203402,30.954336
Lema,2000-01-01T08:32:38Z,6,310,-24.20326,30.954107
Lema,2000-01-01T08:32:41Z,4,303.3,-24.203154,30.95396
Lema,2000-01-01T08:32:45Z,4,296.9,-24.20304,30.953712
Lema,2000-01-01T08:32:49Z,8,290.5,-24.202911,30.953434
Lema,2000-01-01T08:32:52Z,8,299.7,-24.20282,30.953217
Lema,2000-01-01T08:32:56Z,8,304.1,-24.20266,30.952951
Lema,2000-01-01T08:32:59Z,8,308,-24.20256,30.952812
Lema,2000-01-01T08:33:03Z,8,306,-24.202438,30.952644
Lema,2000-01-01T08:33:07Z,10,303.1,-24.202309,30.952448
Lema,2000-01-01T08:33:10Z,12,307.8,-24.202202,30.952282
Lema,2000-01-01T08:33:13Z,12,312,-24.20208,30.952126
Lema,2000-01-01T08:33:17Z,12,309,-24.20192,30.951923
Lema,2000-01-01T08:33:21Z,12,309,-24.201788,30.95174
Lema,2000-01-01T08:33:24Z,12,310.9,-24.201685,30.951595
Lema,2000-01-01T08:33:27Z,12,312,-24.201565,30.95145
Lema,2000-01-01T08:33:31Z,9,313,-24.20141,30.951277
Lema,2000-01-01T08:33:34Z,8,316.9,-24.201284,30.951134
Lema,2000-01-01T08:33:38Z,8,320,-24.20108,30.950958
Lema,2000-01-01T08:33:42Z,8,320,-24.200891,30.950796
Lema,2000-01-01T08:33:45Z,8,317.1,-24.200754,30.950674
Lema,2000-01-01T08:33:49Z,12,316,-24.200596,30.950506
Lema,2000-01-01T08:33:53Z,11,319.9,-24.20044,30.950342
Lema,2000-01-01T08:33:56Z,9,320.1,-24.200298,30.95022
Lema,2000-01-01T08:34:00Z,8,316.1,-24.200085,30.950027
Lema,2000-01-01T08:34:04Z,10,307.3,-24.19988,30.949793
Lema,2000-01-01T08:34:07Z,12,305,-24.199757,30.949612
Lema,2000-01-01T08:34:10Z,12,313.8,-24.199642,30.949448
Lema,2000-01-01T08:34:14Z,12,318,-24.199472,30.949286
Lema,2000-01-01T08:34:17Z,12,307.1,-24.19936,30.949167
Lema,2000-01-01T08:34:21Z,12,310.9,-24.199266,30.949036
Lema,2000-01-01T08:34:25Z,12,320,-24.199154,30.948915
Lema,2000-01-01T08:34:28Z,12,319,-24.199053,30.94882
Lema,2000-01-01T08:34:32Z,12,310.1,-24.1989,30.948675
Lema,2000-01-01T08:34:36Z,12,313,-24.198711,30.948454
Lema,2000-01-01T08:34:40Z,12,317,-24.198496,30.94822
Lema,2000-01-01T08:34:44Z,12,321,-24.198284,30.948025
Lema,2000-01-01T08:34:47Z,12,324.9,-24.198118,30.947895
Lema,2000-01-01T08:34:50Z,10,325,-24.197948,30.94778
Lema,2000-01-01T08:34:53Z,8,327,-24.19778,30.947662
Lema,2000-01-01T08:34:57Z,11,326,-24.197563,30.947515
Lema,2000-01-01T08:35:00Z,12,314.2,-24.197418,30.9474
Lema,2000-01-01T08:35:04Z,12,308,-24.19728,30.947212
Lema,2000-01-01T08:35:07Z,12,307,-24.197187,30.947067
Lema,2000-01-01T08:35:11Z,12,307,-24.197046,30.946869
Lema,2000-01-01T08:35:14Z,12,305,-24.196953,30.946732
Lema,2000-01-01T08:35:18Z,12,298.1,-24.196873,30.946592
Lema,2000-01-01T08:35:21Z,12,302,-24.1968,30.946466
Lema,2000-01-01T08:35:25Z,12,308,-24.196672,30.94627
Lema,2000-01-01T08:35:29Z,12,310,-24.196545,30.946098
Lema,2000-01-01T08:35:32Z,12,304,-24.196434,30.945951
Lema,2000-01-01T08:35:35Z,12,300,-24.196346,30.945791
Lema,2000-01-01T08:35:38Z,12,300,-24.196257,30.945627000000002
Lema,2000-01-01T08:35:42Z,12,295,-24.196154,30.945404
Lema,2000-01-01T08:35:46Z,11,296,-24.196064,30.945171
Lema,2000-01-01T08:35:50Z,8,290.2,-24.195972,30.944937
Lema,2000-01-01T08:35:53Z,6,287.9,-24.19592,30.944769
Lema,2000-01-01T08:35:57Z,6,294.9,-24.195845,30.944546
Lema,2000-01-01T08:36:00Z,6,302.9,-24.195757,30.944395
Lema,2000-01-01T08:36:04Z,4,295.1,-24.195618,30.944147
Lema,2000-01-01T08:36:07Z,4,308.8,-24.195528,30.943993
Lema,2000-01-01T08:36:11Z,4,311,-24.195383,30.943811
Lema,2000-01-01T08:36:14Z,4,326.9,-24.195284,30.943727
Lema,2000-01-01T08:36:17Z,4,334.9,-24.19514,30.94366
Lema,2000-01-01T08:36:21Z,6,335.9,-24.194946,30.943567
Lema,2000-01-01T08:36:25Z,8,332.1,-24.1948,30.943497
Lema,2000-01-01T08:36:28Z,8,331.1,-24.194712,30.943443
Lema,2000-01-01T08:36:32Z,8,321.9,-24.194555,30.94331
Lema,2000-01-01T08:36:36Z,8,331.7,-24.194395,30.943178
Lema,2000-01-01T08:36:39Z,8,335,-24.194258,30.943104
Lema,2000-01-01T08:36:43Z,7,338,-24.19405,30.943
Lema,2000-01-01T08:36:47Z,6,339,-24.193834,30.942917
Lema,2000-01-01T08:36:51Z,8,333,-24.193682,30.942837
Lema,2000-01-01T08:37:56Z,4,324,-24.193691,30.942808
Lema,2000-01-01T08:37:59Z,4,326,-24.19364,30.942747
Lema,2000-01-01T08:38:03Z,4,324,-24.19352,30.94266
Lema,2000-01-01T08:38:06Z,4,321,-24.193447,30.942596
Lema,2000-01-01T08:38:10Z,4,318.9,-24.193344,30.9425
Lema,2000-01-01T08:38:13Z,4,329.4,-24.193264,30.942438
Lema,2000-01-01T08:38:16Z,4,332,-24.193129,30.942356
Lema,2000-01-01T08:38:19Z,4,328,-24.19298,30.942265
Lema,2000-01-01T08:38:23Z,4,335,-24.192774,30.942137
Lema,2000-01-01T08:38:26Z,4,353,-24.192636,30.9421
Lema,2000-01-01T08:38:30Z,4,345,-24.192438,30.942072
Lema,2000-01-01T08:38:33Z,4,346,-24.19234,30.94204
Lema,2000-01-01T08:38:37Z,4,337.6,-24.192196,30.94199
Lema,2000-01-01T08:38:41Z,4,330,-24.192,30.941866
Lema,2000-01-01T08:38:44Z,4,338,-24.191866,30.941795
Lema,2000-01-01T08:38:48Z,4,334,-24.191734,30.94173
Lema,2000-01-01T08:38:51Z,4,351.6,-24.191656,30.94171
Lema,2000-01-01T08:38:59Z,4,166,-24.191689,30.94172
Lema,2000-01-01T08:39:11Z,4,299.2,-24.191696,30.941689
Lema,2000-01-01T08:39:14Z,4,265.1,-24.19168,30.941616
Lema,2000-01-01T08:39:32Z,4,51.8,-24.191685,30.941652
Lema,2000-01-01T08:39:36Z,4,46,-24.19165,30.941696
Lema,2000-01-01T08:39:39Z,4,47,-24.191628,30.941729
Lema,2000-01-01T08:39:46Z,4,164.5,-24.19168,30.941732
Lema,2000-01-01T08:39:49Z,4,154,-24.191795,30.94179
Lema,2000-01-01T08:39:53Z,4,154,-24.191948,30.941866
Lema,2000-01-01T08:39:57Z,4,151,-24.192152,30.941988
Lema,2000-01-01T08:40:00Z,3,161,-24.192295,30.942057
Lema,2000-01-01T08:40:04Z,3,165.4,-24.192438,30.942097
Lema,2000-01-01T08:40:08Z,3,173,-24.192656,30.94214
Lema,2000-01-01T08:40:12Z,4,154,-24.192846,30.942202
Lema,2000-01-01T08:40:16Z,4,148,-24.193035,30.942331
Lema,2000-01-01T08:40:19Z,4,152,-24.193192,30.942429
Lema,2000-01-01T08:40:23Z,3,135,-24.193386,30.942572
Lema,2000-01-01T08:40:27Z,3,144,-24.193523,30.9427
Lema,2000-01-01T08:40:30Z,4,144,-24.19366,30.942806
Lema,2000-01-01T08:40:33Z,4,145,-24.19379,30.942907
Lema,2000-01-01T08:40:37Z,3,161,-24.193975,30.942987
Lema,2000-01-01T08:40:40Z,3,154,-24.194122,30.943048
Lema,2000-01-01T08:40:43Z,3,155,-24.194263,30.943129
Lema,2000-01-01T08:40:47Z,4,147,-24.194445,30.943232
Lema,2000-01-01T08:40:51Z,3,142,-24.19458,30.943338
Lema,2000-01-01T08:40:55Z,4,143,-24.19475,30.943493
Lema,2000-01-01T08:40:59Z,4,156,-24.1949,30.943577
Lema,2000-01-01T08:41:03Z,3,157,-24.195122,30.943676
Lema,2000-01-01T08:41:06Z,3,152,-24.195292,30.943762
Lema,2000-01-01T08:41:10Z,4,130,-24.195438,30.943905
Lema,2000-01-01T08:41:13Z,3,132,-24.195528,30.944023
Lema,2000-01-01T08:41:16Z,3,117,-24.195614,30.944143
Lema,2000-01-01T08:41:20Z,4,120,-24.19573,30.9444
Lema,2000-01-01T08:41:24Z,4,114,-24.195858,30.944624
Lema,2000-01-01T08:41:28Z,5,112,-24.19594,30.944826
Lema,2000-01-01T08:41:32Z,6,112,-24.196014,30.945044
Lema,2000-01-01T08:41:36Z,4,118,-24.196098,30.945211
Lema,2000-01-01T08:41:39Z,4,112.2,-24.196129,30.945282
Lema,2000-01-01T08:41:53Z,6,295,-24.196114,30.945248
Lema,2000-01-01T08:42:01Z,6,44.7,-24.196108,30.945292
Lema,2000-01-01T08:42:05Z,6,23,-24.196005,30.945349
Lema,2000-01-01T08:42:08Z,7,27,-24.19589,30.945406
Lema,2000-01-01T08:42:12Z,8,23,-24.195707,30.945488
Lema,2000-01-01T08:42:15Z,8,18,-24.19556,30.945543
Lema,2000-01-01T08:42:19Z,8,12,-24.195353,30.945587
Lema,2000-01-01T08:42:23Z,8,10,-24.195162,30.945616
Lema,2000-01-01T08:42:27Z,8,6,-24.194994,30.945637
Lema,2000-01-01T08:42:30Z,9,4,-24.19484,30.945646
Lema,2000-01-01T08:42:33Z,12,2,-24.19468,30.945646
Lema,2000-01-01T08:42:37Z,12,350.1,-24.194468,30.94561
Lema,2000-01-01T08:42:40Z,12,351.1,-24.194311,30.945564
Lema,2000-01-01T08:42:44Z,12,343,-24.194113,30.945496
Lema,2000-01-01T08:42:47Z,15,342,-24.193964,30.945438
Lema,2000-01-01T08:42:50Z,14,340.1,-24.193825,30.94538
Lema,2000-01-01T08:42:54Z,12,343.7,-24.193687,30.945309
Lema,2000-01-01T08:42:58Z,12,356.2,-24.193542,30.945278
Lema,2000-01-01T08:43:02Z,12,6.9,-24.19338,30.945292
Lema,2000-01-01T08:43:06Z,11,16,-24.193232,30.945353
Lema,2000-01-01T08:43:09Z,7,14,-24.193111,30.945383
Lema,2000-01-01T08:43:13Z,6,10,-24.192968,30.94542
Lema,2000-01-01T08:43:17Z,8,0.8,-24.19284,30.945436
Lema,2000-01-01T08:43:20Z,8,5.8,-24.192694,30.945436
Lema,2000-01-01T08:43:25Z,7,29.1,-24.192516,30.945469
Lema,2000-01-01T08:43:28Z,6,47,-24.19242,30.945557
Lema,2000-01-01T08:43:31Z,7,32.4,-24.192327,30.945648
Lema,2000-01-01T08:43:35Z,8,43.7,-24.192207,30.945744
Lema,2000-01-01T08:43:38Z,7,51,-24.192133,30.945856
Lema,2000-01-01T08:43:41Z,6,38.1,-24.192066,30.945951
