device_id,timestamp,accuracy,heading_d,latitude,longitude
Tango,1999-12-31T20:25:21Z,4,23,-24.20826,30.893003
Tango,1999-12-31T20:25:25Z,3,358.9,-24.208122,30.893044
Tango,1999-12-31T20:25:29Z,3,345.8,-24.20802,30.893007
Tango,1999-12-31T20:25:32Z,4,354.3,-24.207912,30.893002
Tango,1999-12-31T20:25:36Z,4,318.2,-24.20783,30.89296
Tango,1999-12-31T20:25:39Z,4,291.9,-24.207788,30.892897
Tango,1999-12-31T20:25:43Z,4,282,-24.207754,30.892776
Tango,1999-12-31T20:25:47Z,5,286,-24.207727,30.892653
Tango,1999-12-31T20:25:50Z,5,294.8,-24.207697,30.89256
Tango,1999-12-31T20:25:54Z,4,340.1,-24.207603,30.892464
Tango,1999-12-31T20:25:58Z,4,335,-24.207447,30.892391
Tango,1999-12-31T20:26:01Z,4,339,-24.20728,30.89232
Tango,1999-12-31T20:26:05Z,4,336,-24.207067,30.89222
Tango,1999-12-31T20:26:08Z,5,334,-24.206934,30.89216
Tango,1999-12-31T20:26:11Z,6,344,-24.206833,30.892122
Tango,1999-12-31T20:26:15Z,4,338,-24.20664,30.892054
Tango,1999-12-31T20:26:19Z,4,343,-24.206482,30.891993
Tango,1999-12-31T20:26:23Z,4,340,-24.206278,30.891922
Tango,1999-12-31T20:26:27Z,5,342,-24.206068,30.891848
Tango,1999-12-31T20:26:31Z,4,340,-24.20586,30.891764
Tango,1999-12-31T20:26:35Z,4,352,-24.205658,30.891706
Tango,1999-12-31T20:26:38Z,5,348,-24.2055,30.891682
Tango,1999-12-31T20:26:42Z,4,339,-24.205296,30.891617
Tango,1999-12-31T20:26:46Z,5,341,-24.205116,30.891533
Tango,1999-12-31T20:26:49Z,5,338,-24.204975,30.891476
Tango,1999-12-31T20:26:53Z,4,336,-24.204794,30.89139
Tango,1999-12-31T20:26:56Z,4,338,-24.204657,30.891333
Tango,1999-12-31T20:26:59Z,4,340,-24.2045,30.891275
Tango,1999-12-31T20:27:03Z,4,338,-24.204342,30.891209
Tango,1999-12-31T20:27:07Z,4,330,-24.204258,30.891169
Tango,1999-12-31T20:27:11Z,5,346.1,-24.204206,30.891151
Tango,1999-12-31T20:27:15Z,4,335,-24.20408,30.891108
Tango,1999-12-31T20:27:18Z,4,332,-24.203993,30.89106
Tango,1999-12-31T20:27:22Z,5,330.2,-24.20389,30.891
Tango,1999-12-31T20:27:26Z,6,344,-24.203718,30.890924
Tango,1999-12-31T20:27:30Z,6,341,-24.20356,30.89088
Tango,1999-12-31T20:27:33Z,5,331.5,-24.203447,30.890823
Tango,1999-12-31T20:27:36Z,4,335,-24.203318,30.89074
Tango,1999-12-31T20:27:39Z,4,338,-24.203163,30.890676
